Model,Accuracy,Precision,Recall,F1,ROC-AUC
Decision Tree,0.7818052594171997,0.5902964959568733,0.5855614973262032,0.5879194630872483,0.8136650946570654
Logistic Regression,0.7924662402274343,0.6339869281045751,0.5187165775401069,0.5705882352941176,0.8351240610650668
Random Forest (tuned),0.7903340440653873,0.6357388316151202,0.4946524064171123,0.556390977443609,0.8298631782203332
Random Forest (baseline),0.7867803837953091,0.6267123287671232,0.4893048128342246,0.5495495495495496,0.818687846519405
